الشهر;سنة;المدينة;ذكور;أناث;داخل المدينه;خارج المدينه;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;سعودى;غير سعودى;المصابين;المتوفين
1;1438;الرياض;113;16;57;72;28;32;39;21;9;64;65;0;1
2;1438;الرياض;132;8;57;83;23;35;39;25;18;84;56;0;1
3;1438;الرياض;124;8;66;66;10;52;47;20;3;66;66;0;1
4;1438;الرياض;135;13;64;84;28;49;34;21;16;85;63;0;1
5;1438;الرياض;100;23;45;78;19;43;37;17;7;69;54;0;1
6;1438;الرياض;82;12;43;51;14;24;33;15;8;63;31;0;1
7;1438;الرياض;113;7;65;55;17;24;37;35;7;69;51;0;1
8;1438;الرياض;90;7;47;50;9;19;36;27;6;51;46;0;1
9;1438;الرياض;111;12;63;60;25;23;56;7;12;50;73;0;1
10;1438;الرياض;92;15;31;76;18;29;33;15;12;66;41;0;1
11;1438;الرياض;84;5;36;53;18;42;15;8;6;32;57;0;1
12;1438;الرياض;86;11;46;51;19;23;27;17;11;49;48;0;1
1;1438;المدينه المنوره;38;2;5;35;0;8;24;4;4;28;12;0;1
2;1438;المدينه المنوره;48;9;10;47;2;16;22;10;7;32;25;0;1
3;1438;المدينه المنوره;44;5;17;32;5;9;10;15;10;29;20;0;1
4;1438;المدينه المنوره;37;15;13;39;5;8;17;18;4;15;37;0;1
5;1438;المدينه المنوره;25;4;7;22;2;9;10;5;3;14;15;0;1
6;1438;المدينه المنوره;37;10;12;35;4;7;14;13;9;17;30;0;1
7;1438;المدينه المنوره;42;8;20;30;5;8;18;12;7;19;31;0;1
8;1438;المدينه المنوره;42;8;12;38;5;11;15;13;6;30;20;0;1
9;1438;المدينه المنوره;46;12;5;53;5;11;17;15;10;18;40;0;1
10;1438;المدينه المنوره;42;12;13;41;8;13;14;12;7;21;33;0;1
11;1438;المدينه المنوره;32;11;13;30;4;9;11;12;7;19;24;0;1
12;1438;المدينه المنوره;40;11;8;43;4;11;12;14;10;20;31;0;1
1;1438;الشرقيه;82;18;34;66;11;33;31;16;9;43;57;0;1
2;1438;الشرقيه;63;7;23;47;7;26;18;15;4;47;23;0;1
3;1438;الشرقيه;59;10;12;57;10;28;19;7;5;37;32;0;1
4;1438;الشرقيه;93;10;47;56;12;31;36;15;9;69;34;0;1
5;1438;الشرقيه;73;7;18;62;5;31;24;11;9;47;33;0;1
6;1438;الشرقيه;78;4;29;53;10;28;23;12;9;49;33;0;1
7;1438;الشرقيه;63;8;26;45;5;27;22;13;4;34;37;0;1
8;1438;الشرقيه;57;5;14;48;4;15;20;14;9;30;32;0;1
9;1438;الشرقيه;65;0;41;24;7;17;31;6;4;36;29;0;1
10;1438;الشرقيه;80;18;17;81;13;24;26;19;16;48;50;0;1
11;1438;الشرقيه;62;7;11;58;7;22;22;14;4;39;30;0;1
12;1438;الشرقيه;81;13;20;74;13;33;21;17;10;51;43;0;1
1;1438;الحدود الشماليه;7;1;3;5;2;4;1;0;1;6;2;0;1
2;1438;الحدود الشماليه;7;0;1;6;0;2;2;1;2;3;4;0;1
3;1438;الحدود الشماليه;11;0;4;7;1;3;2;3;2;7;4;0;1
4;1438;الحدود الشماليه;11;0;1;10;1;3;3;2;2;7;4;0;1
5;1438;الحدود الشماليه;13;1;2;12;1;5;6;1;1;11;3;0;1
6;1438;الحدود الشماليه;8;0;1;7;0;4;3;1;0;4;4;0;1
7;1438;الحدود الشماليه;9;2;1;10;0;3;3;0;5;8;3;0;1
8;1438;الحدود الشماليه;6;2;3;5;0;2;2;2;2;6;2;0;1
9;1438;الحدود الشماليه;7;5;1;11;6;4;2;0;0;4;8;0;1
10;1438;الحدود الشماليه;7;0;1;6;2;0;1;4;0;4;3;0;1
11;1438;الحدود الشماليه;2;1;1;2;1;2;0;0;0;1;2;0;1
12;1438;الحدود الشماليه;10;2;2;10;3;2;3;2;2;8;4;0;1
1;1438;تبوك;21;4;7;18;4;8;5;3;5;19;6;0;1
2;1438;تبوك;20;4;24;0;1;7;3;8;5;16;8;0;1
3;1438;تبوك;19;1;9;11;2;9;6;2;1;14;6;0;1
4;1438;تبوك;27;10;2;35;7;20;4;4;2;25;12;0;1
5;1438;تبوك;24;2;8;18;1;16;3;1;5;23;3;0;1
6;1438;تبوك;19;4;0;23;1;10;4;2;6;15;8;0;1
7;1438;تبوك;23;2;3;22;4;12;4;0;5;21;4;0;1
8;1438;تبوك;30;3;8;25;4;13;6;4;6;27;6;0;1
9;1438;تبوك;33;15;9;39;9;21;12;3;3;38;10;0;1
10;1438;تبوك;19;5;4;20;5;6;9;2;2;17;7;0;1
11;1438;تبوك;22;6;3;25;2;10;8;3;5;18;10;0;1
12;1438;تبوك;25;10;2;33;7;9;8;7;4;24;11;0;1
1;1438;الجوف;15;1;6;10;4;4;4;2;2;11;5;0;1
2;1438;الجوف;14;2;6;10;2;8;2;0;4;14;2;0;1
3;1438;الجوف;6;0;1;5;1;4;1;0;0;3;3;0;1
4;1438;الجوف;18;1;3;16;2;6;7;2;2;13;6;0;1
5;1438;الجوف;10;1;4;7;2;3;4;1;1;8;3;0;1
6;1438;الجوف;7;2;1;8;0;4;4;0;1;8;1;0;1
7;1438;الجوف;15;1;5;11;2;7;3;3;1;8;8;0;1
8;1438;الجوف;8;1;3;6;3;3;3;0;0;9;0;0;1
9;1438;الجوف;9;2;7;4;1;5;4;0;1;6;5;0;1
10;1438;الجوف;14;1;4;11;1;9;3;0;2;13;2;0;1
11;1438;الجوف;12;6;3;15;5;3;9;0;1;18;0;0;1
12;1438;الجوف;13;4;2;15;3;6;2;2;4;11;6;0;1
1;1438;حائل;14;3;7;10;2;4;5;4;2;13;4;0;1
2;1438;حائل;35;2;17;20;10;14;4;5;4;32;5;0;1
3;1438;حائل;25;1;12;14;3;12;3;3;5;19;7;0;1
4;1438;حائل;30;1;7;24;8;8;5;3;7;24;7;0;1
5;1438;حائل;27;0;12;15;4;15;4;3;1;23;4;0;1
6;1438;حائل;19;1;8;12;3;9;5;2;1;16;4;0;1
7;1438;حائل;15;3;8;10;3;8;2;3;2;11;7;0;1
8;1438;حائل;21;2;4;19;5;3;9;3;3;12;11;0;1
9;1438;حائل;21;1;6;16;1;10;8;2;1;15;7;0;1
10;1438;حائل;13;0;2;11;2;6;3;1;1;6;7;0;1
11;1438;حائل;14;3;7;10;5;9;0;1;2;11;6;0;1
12;1438;حائل;13;1;3;11;3;6;2;1;2;10;4;0;1
1;1438;نجران;16;0;5;11;3;6;3;3;1;10;6;0;1
2;1438;نجران;14;0;6;8;2;3;2;2;5;10;4;0;1
3;1438;نجران;16;3;8;11;2;6;4;3;4;10;9;0;1
4;1438;نجران;15;0;6;9;1;3;4;3;4;8;7;0;1
5;1438;نجران;15;0;6;9;1;6;2;4;2;12;3;0;1
6;1438;نجران;17;0;6;11;4;7;2;1;3;10;7;0;1
7;1438;نجران;16;1;4;13;3;4;3;2;5;8;9;0;1
8;1438;نجران;12;0;4;8;2;8;1;0;1;8;4;0;1
9;1438;نجران;19;4;8;15;5;8;6;1;3;11;12;0;1
10;1438;نجران;10;0;2;8;0;5;2;0;3;3;7;0;1
11;1438;نجران;13;1;3;11;2;5;3;3;1;7;7;0;1
12;1438;نجران;21;1;3;19;2;6;5;4;5;7;15;0;1
1;1438;القصيم;29;2;26;5;3;8;12;2;6;20;11;0;1
2;1438;القصيم;18;4;15;7;3;6;8;2;3;16;6;0;1
3;1438;القصيم;18;3;15;6;5;8;5;2;1;14;7;0;1
4;1438;القصيم;36;1;27;10;8;10;10;4;5;30;7;0;1
5;1438;القصيم;21;6;15;12;4;6;10;4;3;17;10;0;1
6;1438;القصيم;16;3;13;6;2;8;4;2;3;11;8;0;1
7;1438;القصيم;25;2;18;9;3;13;5;3;3;17;10;0;1
8;1438;القصيم;22;3;13;12;1;9;9;4;2;10;15;0;1
9;1438;القصيم;28;2;21;9;3;15;8;4;0;16;14;0;1
10;1438;القصيم;29;7;27;9;6;19;3;6;2;26;10;0;1
11;1438;القصيم;16;2;14;4;2;4;2;7;3;9;9;0;1
12;1438;القصيم;23;3;18;8;3;4;7;6;6;12;14;0;1
1;1438;الباحه;12;2;6;8;1;9;3;0;1;7;7;0;1
2;1438;الباحه;8;0;2;6;1;3;1;2;1;4;4;0;1
3;1438;الباحه;8;0;6;2;0;1;5;2;0;3;5;0;1
4;1438;الباحه;10;0;6;4;2;4;1;1;2;7;3;0;1
5;1438;الباحه;7;0;5;2;0;4;2;0;1;5;2;0;1
6;1438;الباحه;7;0;3;4;3;1;1;1;1;5;2;0;1
7;1438;الباحه;15;2;9;8;3;7;1;2;4;12;5;0;1
8;1438;الباحه;9;1;7;3;0;2;4;2;2;8;2;0;1
9;1438;الباحه;11;2;9;4;4;1;0;5;3;9;4;0;1
10;1438;الباحه;16;1;13;4;2;7;2;3;3;9;8;0;1
11;1438;الباحه;11;0;4;7;2;7;0;1;1;7;4;0;1
12;1438;الباحه;10;2;10;2;1;3;1;1;6;10;2;0;1
1;1438;عسير;63;5;4;64;5;26;21;7;9;50;18;0;1
2;1438;عسير;52;6;1;57;7;19;15;10;7;41;17;0;1
3;1438;عسير;54;11;4;61;4;32;8;8;13;52;13;0;1
4;1438;عسير;54;5;7;52;8;28;16;4;3;48;11;0;1
5;1438;عسير;51;9;4;56;9;25;11;8;7;44;16;0;1
6;1438;عسير;51;4;2;53;6;24;11;10;4;37;18;0;1
7;1438;عسير;66;1;13;54;7;33;17;5;5;55;12;0;1
8;1438;عسير;76;7;1;82;12;31;18;10;12;62;21;0;1
9;1438;عسير;75;16;6;85;17;28;16;8;22;69;22;0;1
10;1438;عسير;73;10;5;78;10;30;17;10;16;65;18;0;1
11;1438;عسير;55;7;4;58;8;28;11;5;10;49;13;0;1
12;1438;عسير;74;3;0;77;8;33;18;7;11;60;17;0;1
1;1438;جازان;36;3;17;22;8;15;10;5;1;29;10;0;1
2;1438;جازان;44;5;16;33;10;27;6;4;2;35;14;0;1
3;1438;جازان;47;1;16;32;1;21;14;7;5;35;13;0;1
4;1438;جازان;41;9;14;36;10;24;5;4;7;40;10;0;1
5;1438;جازان;40;12;16;36;5;19;15;7;6;36;16;0;1
6;1438;جازان;13;4;4;13;2;9;4;2;0;11;6;0;1
7;1438;جازان;16;3;2;17;1;11;4;3;0;15;4;0;1
8;1438;جازان;11;17;9;19;5;8;6;6;3;18;10;0;1
9;1438;جازان;34;3;15;22;5;12;8;10;2;22;15;0;1
10;1438;جازان;31;2;12;21;3;15;6;8;1;24;9;0;1
11;1438;جازان;50;6;19;37;11;29;10;4;2;46;10;0;1
12;1438;جازان;35;3;13;25;11;13;8;1;5;31;7;0;1
1;1438;جده;38;1;18;21;3;11;12;9;4;19;20;0;1
2;1438;جده;42;1;27;16;7;11;9;8;8;13;30;0;1
3;1438;جده;28;3;16;15;5;6;8;8;4;8;23;0;1
4;1438;جده;32;3;13;22;4;12;6;9;4;13;22;0;1
5;1438;جده;38;2;14;26;4;13;9;8;6;17;23;0;1
6;1438;جده;36;1;20;17;3;12;10;5;7;16;21;0;1
7;1438;جده;33;2;22;13;4;11;6;7;7;15;20;0;1
8;1438;جده;33;4;15;22;3;13;8;8;5;12;25;0;1
9;1438;جده;34;4;21;17;4;9;8;7;10;16;22;0;1
10;1438;جده;28;6;18;16;5;5;17;4;3;13;21;0;1
11;1438;جده;26;1;17;10;2;8;7;6;4;15;12;0;1
12;1438;جده;25;3;14;14;3;9;6;5;5;11;17;0;1
1;1438;الطائف;41;4;13;32;1;9;17;11;7;28;17;0;1
2;1438;الطائف;36;6;15;27;3;12;15;9;3;28;14;0;1
3;1438;الطائف;43;9;11;41;6;12;11;14;9;25;27;0;1
4;1438;الطائف;35;3;15;23;11;5;10;3;9;19;19;0;1
5;1438;الطائف;30;3;7;26;5;9;8;9;2;16;17;0;1
6;1438;الطائف;28;1;6;23;6;10;8;2;3;21;8;0;1
7;1438;الطائف;41;4;6;39;6;11;10;6;12;22;23;0;1
8;1438;الطائف;43;7;9;41;7;11;14;9;9;25;25;0;1
9;1438;الطائف;30;3;6;27;5;6;8;8;6;23;10;0;1
10;1438;الطائف;52;10;9;53;13;16;12;14;7;40;22;0;1
11;1438;الطائف;32;1;7;26;2;4;12;11;4;26;7;0;1
12;1438;الطائف;41;4;8;37;5;13;12;9;6;31;14;0;1
1;1438;العاصمه;47;0;12;35;2;17;12;6;10;29;18;0;1
2;1438;العاصمه;46;6;7;45;3;21;11;7;10;38;14;0;1
3;1438;العاصمه;58;10;17;51;9;28;12;9;10;36;32;0;1
4;1438;العاصمه;43;9;13;39;5;13;9;10;15;28;24;0;1
5;1438;العاصمه;50;18;8;60;10;15;17;5;21;42;26;0;1
6;1438;العاصمه;47;8;16;39;5;7;11;13;19;30;25;0;1
7;1438;العاصمه;52;12;14;50;2;9;13;8;32;29;35;0;1
8;1438;العاصمه;48;12;20;40;7;21;9;6;17;39;21;0;1
9;1438;العاصمه;43;14;11;46;11;13;9;4;20;38;19;0;1
10;1438;العاصمه;64;14;11;67;5;20;18;25;10;48;30;0;1
11;1438;العاصمه;47;10;15;42;1;14;9;6;27;34;23;0;1
12;1438;العاصمه;45;7;21;31;5;9;12;8;18;14;38;0;1
1;1438;القريات;5;2;2;5;1;0;2;2;2;7;0;0;1
2;1438;القريات;4;1;1;4;2;1;1;1;0;5;0;0;1
3;1438;القريات;10;0;3;7;2;4;2;0;2;8;2;0;1
4;1438;القريات;4;0;2;2;1;1;1;1;0;1;3;0;1
5;1438;القريات;8;2;2;8;3;4;0;1;2;10;0;0;1
6;1438;القريات;5;0;0;5;0;3;0;1;1;5;0;0;1
7;1438;القريات;3;0;1;2;2;1;0;0;0;3;0;0;1
8;1438;القريات;3;0;0;3;2;0;1;0;0;2;1;0;1
9;1438;القريات;3;4;0;7;4;0;1;1;1;2;5;0;1
10;1438;القريات;8;1;1;8;1;6;0;1;1;8;1;0;1
11;1438;القريات;7;1;3;5;4;2;1;0;1;6;2;0;1
12;1438;القريات;5;1;0;6;2;2;1;0;1;4;2;0;1
1;1438;الرياض;329;34;234;129;60;129;102;45;27;193;170;1;0
2;1438;الرياض;370;34;258;146;36;159;118;55;36;231;173;1;0
3;1438;الرياض;381;47;307;121;64;142;117;76;29;259;169;1;0
4;1438;الرياض;396;30;291;135;85;113;136;52;40;248;178;1;0
5;1438;الرياض;346;40;240;146;39;124;144;65;14;238;148;1;0
6;1438;الرياض;297;20;217;100;32;112;82;81;10;185;132;1;0
7;1438;الرياض;343;57;302;98;35;86;167;68;44;217;183;1;0
8;1438;الرياض;338;30;259;109;69;122;93;47;37;194;174;1;0
9;1438;الرياض;355;49;206;198;86;111;159;32;16;183;221;1;0
10;1438;الرياض;312;60;189;183;83;108;54;77;50;183;189;1;0
11;1438;الرياض;279;32;201;110;48;58;94;64;47;152;159;1;0
12;1438;الرياض;323;38;205;156;102;124;57;37;41;197;164;1;0
1;1438;المدينه المنوره;239;34;138;135;44;53;56;60;60;164;109;1;0
2;1438;المدينه المنوره;252;40;136;156;44;53;75;60;60;161;131;1;0
3;1438;المدينه المنوره;202;37;129;110;20;98;36;35;50;131;108;1;0
4;1438;المدينه المنوره;203;56;127;132;37;52;60;71;39;115;144;1;0
5;1438;المدينه المنوره;203;42;123;122;31;52;63;59;40;141;104;1;0
6;1438;المدينه المنوره;190;26;96;120;28;44;57;49;38;119;97;1;0
7;1438;المدينه المنوره;153;54;87;120;40;65;69;20;13;104;103;1;0
8;1438;المدينه المنوره;226;38;132;132;41;49;63;58;53;132;132;1;0
9;1438;المدينه المنوره;223;59;107;175;23;65;73;60;61;112;170;1;0
10;1438;المدينه المنوره;189;29;81;137;32;43;55;49;39;99;119;1;0
11;1438;المدينه المنوره;141;20;77;84;24;33;39;44;21;83;78;1;0
12;1438;المدينه المنوره;206;55;80;181;33;54;67;56;51;132;129;1;0
1;1438;الشرقيه;228;108;184;152;39;85;97;75;40;211;125;1;0
2;1438;الشرقيه;337;63;233;167;55;133;117;41;54;282;118;1;0
3;1438;الشرقيه;287;86;238;135;35;125;119;49;45;249;124;1;0
4;1438;الشرقيه;332;33;171;194;46;134;98;52;35;263;102;1;0
5;1438;الشرقيه;331;42;191;182;53;142;109;51;18;223;150;1;0
6;1438;الشرقيه;265;94;207;152;36;114;104;76;29;215;144;1;0
7;1438;الشرقيه;256;118;207;167;34;107;98;87;48;225;149;1;0
8;1438;الشرقيه;241;107;216;132;25;97;89;85;52;228;120;1;0
9;1438;الشرقيه;262;40;161;141;30;82;90;65;35;201;101;1;0
10;1438;الشرقيه;196;91;182;105;37;76;69;74;31;130;157;1;0
11;1438;الشرقيه;184;81;167;98;23;85;71;54;32;124;141;1;0
12;1438;الشرقيه;202;89;167;124;31;97;83;62;18;148;143;1;0
1;1438;الحدود الشماليه;37;3;20;20;5;18;13;1;3;30;10;1;0
2;1438;الحدود الشماليه;31;3;12;22;4;14;11;1;4;20;14;1;0
3;1438;الحدود الشماليه;21;0;20;1;2;6;11;2;0;10;11;1;0
4;1438;الحدود الشماليه;33;6;20;19;12;8;15;2;2;27;12;1;0
5;1438;الحدود الشماليه;31;4;10;25;2;14;16;2;1;26;9;1;0
6;1438;الحدود الشماليه;28;4;2;30;5;11;10;4;2;17;15;1;0
7;1438;الحدود الشماليه;28;4;2;30;0;14;14;3;1;18;14;1;0
8;1438;الحدود الشماليه;27;4;4;27;7;10;5;3;6;21;10;1;0
9;1438;الحدود الشماليه;30;3;6;27;7;10;7;3;6;13;20;1;0
10;1438;الحدود الشماليه;12;2;5;9;3;2;4;0;5;8;6;1;0
11;1438;الحدود الشماليه;12;2;4;10;2;9;2;1;0;10;4;1;0
12;1438;الحدود الشماليه;45;4;22;27;9;24;12;4;0;41;8;1;0
1;1438;تبوك;99;9;40;68;21;32;28;18;9;89;19;1;0
2;1438;تبوك;111;17;49;79;10;38;51;23;6;110;18;1;0
3;1438;تبوك;63;6;34;35;13;32;14;4;6;59;10;1;0
4;1438;تبوك;80;7;24;63;18;46;13;5;5;62;25;1;0
5;1438;تبوك;101;11;50;62;17;59;15;12;9;90;22;1;0
6;1438;تبوك;130;36;42;124;21;28;79;19;19;95;71;1;0
7;1438;تبوك;78;18;38;58;28;41;19;4;4;76;20;1;0
8;1438;تبوك;74;18;35;57;33;30;18;7;4;68;24;1;0
9;1438;تبوك;92;15;28;79;22;45;27;7;6;73;34;1;0
10;1438;تبوك;75;18;19;74;35;24;22;5;7;54;39;1;0
11;1438;تبوك;70;17;29;58;16;23;20;19;9;66;21;1;0
12;1438;تبوك;19;79;14;84;20;36;25;9;8;74;24;1;0
1;1438;الجوف;44;7;22;29;11;12;13;12;3;36;15;1;0
2;1438;الجوف;68;6;32;42;18;26;19;6;5;66;8;1;0
3;1438;الجوف;39;8;16;31;6;21;13;7;0;29;18;1;0
4;1438;الجوف;33;12;5;40;9;13;13;7;3;33;12;1;0
5;1438;الجوف;41;8;25;24;9;19;11;9;1;34;15;1;0
6;1438;الجوف;36;5;27;14;7;18;12;3;1;28;13;1;0
7;1438;الجوف;38;3;16;25;3;11;19;7;1;28;13;1;0
8;1438;الجوف;36;10;21;25;2;24;10;6;4;37;9;1;0
9;1438;الجوف;23;8;8;23;4;8;12;7;0;20;11;1;0
10;1438;الجوف;15;2;7;10;1;7;5;4;0;13;4;1;0
11;1438;الجوف;15;2;2;15;0;7;7;3;0;12;5;1;0
12;1438;الجوف;18;3;8;13;2;10;6;2;1;18;3;1;0
1;1438;حائل;44;4;26;22;1;18;13;11;5;43;5;1;0
2;1438;حائل;55;5;34;26;2;23;20;10;5;54;6;1;0
3;1438;حائل;63;8;26;45;5;25;21;12;8;62;9;1;0
4;1438;حائل;65;6;34;37;3;25;20;18;5;59;12;1;0
5;1438;حائل;76;6;64;18;36;12;11;14;9;76;6;1;0
6;1438;حائل;89;4;33;60;9;24;38;14;8;87;6;1;0
7;1438;حائل;67;5;29;43;9;17;37;7;2;65;7;1;0
8;1438;حائل;89;4;43;50;14;35;21;16;7;84;9;1;0
