الرياض;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;91;6;97;49;48;97;15;31;40;5;6;97;56;41;97
صفر;93;9;102;52;50;102;14;33;34;9;12;102;66;36;102
ربيع أول;101;2;103;61;42;103;15;35;29;13;11;103;52;51;103
ربيع ثانى;116;10;126;53;73;126;21;42;35;15;13;126;62;64;126
جمادى أول;81;12;93;51;42;93;16;28;26;14;9;93;43;50;93
جمادى ثانى;97;17;114;43;71;114;14;37;34;18;11;114;61;53;114
رجب;122;16;138;52;86;138;37;44;40;5;12;138;69;69;138
شعبان;91;10;101;51;50;101;15;35;40;7;4;101;50;51;101
رمضان;151;11;162;69;93;162;24;43;56;22;17;162;66;96;162
شوال;124;4;128;54;74;128;22;52;29;10;15;128;47;81;128
ذى القعدة;108;18;126;49;77;126;26;24;37;23;16;126;61;65;126
ذى الحجة;131;9;140;67;73;140;32;38;39;14;17;140;74;66;140
المجموع;1306;124;1430;651;779;1430;251;442;439;155;143;1430;707;723;1430
المدينه المنوره ;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;57;6;63;22;41;63;3;6;14;20;20;63;27;36;63
صفر;50;12;62;14;48;62;4;15;25;10;8;62;28;34;62
ربيع أول;50;11;61;24;37;61;10;17;20;6;8;61;24;37;61
ربيع ثانى;56;11;67;13;54;67;12;15;20;14;6;67;35;32;67
جمادى أول;42;18;60;18;42;60;6;9;17;12;16;60;25;35;60
جمادى ثانى;71;21;92;19;73;92;9;20;25;21;17;92;37;55;92
رجب;44;17;61;14;47;61;9;12;17;15;8;61;29;32;61
شعبان;43;15;58;13;45;58;6;10;16;14;12;58;30;28;58
رمضان;82;17;99;17;82;99;5;20;15;20;39;99;88;11;99
شوال;61;13;74;17;57;74;3;10;35;18;8;74;24;50;74
ذى القعدة;41;7;48;14;34;48;5;10;15;13;5;48;28;20;48
ذى الحجة;58;19;77;9;68;77;5;10;28;15;19;77;36;41;77
المجموع;655;167;822;194;628;822;77;154;247;178;166;822;411;411;822
الشرقيه;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;94;11;105;94;11;105;8;31;28;32;6;105;52;53;105
صفر;88;16;104;37;67;104;11;27;37;21;8;104;59;45;104
ربيع أول;97;16;113;34;79;113;9;36;37;19;12;113;72;41;113
ربيع ثانى;92;10;102;40;62;102;9;33;34;19;7;102;57;45;102
جمادى أول;84;6;90;32;58;90;6;28;31;18;7;90;45;45;90
جمادى ثانى;92;10;102;32;70;102;13;35;26;23;5;102;54;48;102
رجب;77;8;85;34;51;85;5;31;28;16;5;85;47;38;85
شعبان;67;10;77;29;48;77;7;31;26;9;4;77;46;31;77
رمضان;65;19;84;47;37;84;5;25;30;10;14;84;45;39;84
شوال;74;14;88;37;51;88;11;31;27;12;7;88;39;49;88
ذى القعدة;60;10;70;29;41;70;5;28;17;15;5;70;42;28;70
ذى الحجة;81;12;93;39;54;93;6;31;35;14;7;93;54;39;93
المجموع;971;142;1113;484;629;1113;95;367;356;208;87;1113;612;501;1113
الحدود الشماليه;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;14;0;14;3;11;14;1;4;4;4;1;14;10;4;14
صفر;15;0;15;2;13;15;4;3;6;2;0;15;9;6;15
ربيع أول;13;2;15;10;5;15;1;5;4;3;2;15;11;4;15
ربيع ثانى;27;3;30;23;7;30;4;10;4;4;8;30;23;7;30
جمادى أول;8;2;10;2;8;10;1;4;2;1;2;10;9;1;10
جمادى ثانى;20;2;22;2;20;22;1;8;7;6;0;22;18;4;22
رجب;12;0;12;4;8;12;1;5;1;1;4;12;8;4;12
شعبان;9;3;12;2;10;12;4;2;0;2;4;12;9;3;12
رمضان;11;4;15;2;13;15;2;6;4;2;1;15;3;12;15
شوال;7;5;12;1;11;12;2;4;3;1;2;12;12;0;12
ذى القعدة;18;0;18;5;13;18;5;3;5;2;3;18;9;9;18
ذى الحجة;14;4;18;5;13;18;5;7;5;0;1;18;10;8;18
المجموع;168;25;193;61;132;193;31;61;45;28;28;193;131;62;193
تبوك;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;28;12;40;8;32;40;8;10;9;7;6;40;29;11;40
صفر;37;13;50;10;40;50;6;12;14;7;11;50;40;10;50
