الرياض;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;95;5;100;54;46;100;9;38;27;12;14;100;46;54;100
صفر;93;5;98;57;41;98;9;38;25;14;12;98;46;52;98
ربيع أول;94;11;105;49;56;105;22;13;35;24;11;105;59;46;105
ربيع ثانى;85;6;91;46;45;91;29;22;19;13;8;91;49;42;91
جمادى أول;95;1;96;51;45;96;15;35;26;12;8;96;52;44;96
جمادى ثانى;89;7;96;47;49;96;35;33;10;13;5;96;41;55;96
رجب;67;16;83;34;49;83;22;19;29;9;4;83;44;39;83
شعبان;66;9;75;28;47;75;11;23;20;14;7;75;42;33;75
رمضان;75;7;82;42;40;82;12;28;25;12;5;82;34;48;82
شوال;92;8;100;52;48;100;21;40;19;15;5;100;55;45;100
ذى القعدة;60;5;65;20;45;65;13;21;15;9;7;65;28;37;65
ذى الحجة;93;7;100;43;57;100;16;37;29;8;10;100;53;47;100
المجموع;1004;87;1091;523;568;1091;214;347;279;155;96;1091;549;542;1091
المدينه المنوره;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;37;6;43;12;31;43;5;8;9;11;10;43;23;20;43
صفر;36;9;45;20;25;45;5;9;11;7;13;45;15;30;45
ربيع أول;27;9;36;7;29;36;2;5;11;8;10;36;18;18;36
ربيع ثانى;37;5;42;11;31;42;4;10;13;8;7;42;29;13;42
جمادى أول;16;5;21;9;12;21;2;5;6;4;4;21;7;14;21
جمادى ثانى;29;7;36;11;25;36;6;11;7;6;6;36;21;15;36
رجب;25;10;35;2;33;35;6;9;8;5;7;35;15;20;35
شعبان;19;4;23;7;16;23;6;11;5;1;0;23;10;13;23
رمضان;60;13;73;11;62;73;12;17;16;14;14;73;25;48;73
شوال;49;6;55;10;45;55;8;15;14;9;9;55;25;30;55
ذى القعدة;26;13;39;10;29;39;7;13;7;4;8;39;13;26;39
ذى الحجة;29;6;35;4;31;35;5;13;7;5;5;35;14;21;35
المجموع;390;93;483;114;369;483;68;126;114;82;93;483;215;268;483
الشرقيه;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;58;4;62;15;47;62;6;23;16;10;7;62;34;28;62
صفر;65;4;69;23;46;69;6;26;19;8;10;69;35;34;69
ربيع أول;54;4;58;17;41;58;4;19;14;12;9;58;35;23;58
ربيع ثانى;67;12;79;23;56;79;11;29;22;7;10;79;43;36;79
جمادى أول;36;4;40;13;27;40;3;12;11;5;9;40;22;18;40
جمادى ثانى;35;7;42;11;31;42;6;14;13;5;4;42;25;17;42
رجب;50;3;53;19;34;53;4;23;7;7;12;53;29;24;53
شعبان;58;2;60;16;44;60;7;22;11;12;8;60;42;18;60
رمضان;51;2;53;10;43;53;3;23;14;5;8;53;22;31;53
شوال;47;8;55;19;36;55;2;27;15;5;6;55;31;24;55
ذى القعدة;43;2;45;12;33;45;7;14;11;8;5;45;22;23;45
ذى الحجة;43;2;45;11;34;45;7;14;11;9;4;45;24;21;45
المجموع;607;54;661;189;472;661;66;246;164;93;92;661;364;297;661
الحدود الشماليه;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;5;1;6;5;1;6;1;1;2;0;2;6;2;4;6
صفر;5;0;5;2;3;5;1;1;1;0;2;5;3;2;5
ربيع أول;9;0;9;4;5;9;2;1;4;1;1;9;7;2;9
ربيع ثانى;7;1;8;2;6;8;2;3;1;1;1;8;6;2;8
جمادى أول;5;0;5;1;4;5;0;3;1;1;0;5;3;2;5
جمادى ثانى;2;1;3;2;1;3;1;0;1;0;1;3;3;0;3
رجب;8;2;10;9;1;10;4;2;2;1;1;10;4;6;10
شعبان;6;1;7;2;5;7;1;0;3;1;2;7;5;2;7
رمضان;4;0;4;0;4;4;2;2;0;0;0;4;4;0;4
