"الرياض- عدد الأشخاص المصابين حسب الجنس","","","","عدد الأشخاص المصابين حسب المكان","","","عدد الأشخاص المصابين حسب العمر","","","","","","عدد الأشخاص المصابين حسب الجنسيه","",""
"الشهر","ذكور","أناث","المجموع","داخل المدينه","خارج المدينه","المجموع","أقل من 18","من18 إلى 30","من 30 على 40","من40إلى50","من50فأكثر","المجموع","سعودى","غير سعودى","المجموع"
"محرم","329.0","34.0","363.0","234.0","129.0","363.0","60.0","129.0","102.0","45.0","27.0","363.0","193.0","170.0","363.0"
"صفر","370.0","34.0","404.0","258.0","146.0","404.0","36.0","159.0","118.0","55.0","36.0","404.0","231.0","173.0","404.0"
"ربيع أول","381.0","47.0","428.0","307.0","121.0","428.0","64.0","142.0","117.0","76.0","29.0","428.0","259.0","169.0","428.0"
"ربيع ثانى","396.0","30.0","426.0","291.0","135.0","426.0","85.0","113.0","136.0","52.0","40.0","426.0","248.0","178.0","426.0"
"جمادى أول","346.0","40.0","386.0","240.0","146.0","386.0","39.0","124.0","144.0","65.0","14.0","386.0","238.0","148.0","386.0"
"جمادى ثانى","297.0","20.0","317.0","217.0","100.0","317.0","32.0","112.0","82.0","81.0","10.0","317.0","185.0","132.0","317.0"
"رجب","343.0","57.0","400.0","302.0","98.0","400.0","35.0","86.0","167.0","68.0","44.0","400.0","217.0","183.0","400.0"
"شعبان","338.0","30.0","368.0","259.0","109.0","368.0","69.0","122.0","93.0","47.0","37.0","368.0","194.0","174.0","368.0"
"رمضان","355.0","49.0","404.0","206.0","198.0","404.0","86.0","111.0","159.0","32.0","16.0","404.0","183.0","221.0","404.0"
"شوال","312.0","60.0","372.0","189.0","183.0","372.0","83.0","108.0","54.0","77.0","50.0","372.0","183.0","189.0","372.0"
"ذى القعدة","279.0","32.0","311.0","201.0","110.0","311.0","48.0","58.0","94.0","64.0","47.0","311.0","152.0","159.0","311.0"
"ذى الحجة","323.0","38.0","361.0","205.0","156.0","361.0","102.0","124.0","57.0","37.0","41.0","361.0","197.0","164.0","361.0"
"المجموع","4069.0","471.0","4540.0","2909.0","1631.0","4540.0","739.0","1388.0","1323.0","699.0","391.0","4540.0","2480.0","2060.0","4540.0"
"المدينه المنوره- عــد د الأشخاص المصابين حسب الجنس","","","","عــدد الأشخاص المصابين حسب المكان","","","عدد الأشخاص المصابين حسب العمر","","","","","","عدد الأشخاص المصابين حسب الجنسيه","",""
"الشهر","ذكـور","أنا ث","المجموع","داخل المدينه","خارج المدينه","المجموع","أقل من 18","من18 إلى 30","من 30 على 40","من40إلى50","من50فأكثر","المجموع","سعودى","غير سعودى","المجموع"
"محرم","239.0","34.0","273.0","138.0","135.0","273.0","44.0","53.0","56.0","60.0","60.0","273.0","164.0","109.0","273.0"
"صفر","252.0","40.0","292.0","136.0","156.0","292.0","44.0","53.0","75.0","60.0","60.0","292.0","161.0","131.0","292.0"
"ربيع أول","202.0","37.0","239.0","129.0","110.0","239.0","20.0","98.0","36.0","35.0","50.0","239.0","131.0","108.0","239.0"
"ربيع ثانى","203.0","56.0","259.0","127.0","132.0","259.0","37.0","52.0","60.0","71.0","39.0","259.0","115.0","144.0","259.0"
"جمادى أول","203.0","42.0","245.0","123.0","122.0","245.0","31.0","52.0","63.0","59.0","40.0","245.0","141.0","104.0","245.0"
"جمادى ثانى","190.0","26.0","216.0","96.0","120.0","216.0","28.0","44.0","57.0","49.0","38.0","216.0","119.0","97.0","216.0"
"رجب","153.0","54.0","207.0","87.0","120.0","207.0","40.0","65.0","69.0","20.0","13.0","207.0","104.0","103.0","207.0"
"شعبان","226.0","38.0","264.0","132.0","132.0","264.0","41.0","49.0","63.0","58.0","53.0","264.0","132.0","132.0","264.0"
"رمضان","223.0","59.0","282.0","107.0","175.0","282.0","23.0","65.0","73.0","60.0","61.0","282.0","112.0","170.0","282.0"
"شوال","189.0","29.0","218.0","81.0","137.0","218.0","32.0","43.0","55.0","49.0","39.0","218.0","99.0","119.0","218.0"
"ذى القعدة","141.0","20.0","161.0","77.0","84.0","161.0","24.0","33.0","39.0","44.0","21.0","161.0","83.0","78.0","161.0"
"ذى الحجة","206.0","55.0","261.0","80.0","181.0","261.0","33.0","54.0","67.0","56.0","51.0","261.0","132.0","129.0","261.0"
"المجموع","2427.0","490.0","2917.0","1313.0","1604.0","2917.0","397.0","661.0","713.0","621.0","525.0","2917.0","1493.0","1424.0","2917.0"
"الشرقيه- عــدد الأشخاص المصابين حسب الجنس","","","","عــدد الأشخاص المصابين حسب المكان","","","عــدد الأشخاص المصابين حسب العمر","","","","","","عدد الأشخاص المصابين حسب الجنسيه","",""
"الشهر","ذكـور","أنا ث","المجموع","داخل المدينه","خارج المدينه","المجموع","أقل من 18","من18 إلى 30","من 30 على 40","من40إلى50","من50فأكثر","المجموع","سعودى","غير سعودى","المجموع"
"محرم","228.0","108.0","336.0","184.0","152.0","336.0","39.0","85.0","97.0","75.0","40.0","336.0","211.0","125.0","336.0"
"صفر","337.0","63.0","400.0","233.0","167.0","400.0","55.0","133.0","117.0","41.0","54.0","400.0","282.0","118.0","400.0"
"ربيع أول","287.0","86.0","373.0","238.0","135.0","373.0","35.0","125.0","119.0","49.0","45.0","373.0","249.0","124.0","373.0"
"ربيع ثانى","332.0","33.0","365.0","171.0","194.0","365.0","46.0","134.0","98.0","52.0","35.0","365.0","263.0","102.0","365.0"
"جمادى أول","331.0","42.0","373.0","191.0","182.0","373.0","53.0","142.0","109.0","51.0","18.0","373.0","223.0","150.0","373.0"
"جمادى ثانى","265.0","94.0","359.0","207.0","152.0","359.0","36.0","114.0","104.0","76.0","29.0","359.0","215.0","144.0","359.0"
"رجب","256.0","118.0","374.0","207.0","167.0","374.0","34.0","107.0","98.0","87.0","48.0","374.0","225.0","149.0","374.0"
"شعبان","241.0","107.0","348.0","216.0","132.0","348.0","25.0","97.0","89.0","85.0","52.0","348.0","228.0","120.0","348.0"
"رمضان","262.0","40.0","302.0","161.0","141.0","302.0","30.0","82.0","90.0","65.0","35.0","302.0","201.0","101.0","302.0"
"شوال","196.0","91.0","287.0","182.0","105.0","287.0","37.0","76.0","69.0","74.0","31.0","287.0","130.0","157.0","287.0"
"ذى القعدة","184.0","81.0","265.0","167.0","98.0","265.0","23.0","85.0","71.0","54.0","32.0","265.0","124.0","141.0","265.0"
"ذى الحجة","202.0","89.0","291.0","167.0","124.0","291.0","31.0","97.0","83.0","62.0","18.0","291.0","148.0","143.0","291.0"
"المجموع","3121.0","952.0","4073.0","2324.0","1749.0","4073.0","444.0","1277.0","1144.0","771.0","437.0","4073.0","2499.0","1574.0","4073.0"
"الحدود الشماليه- عــدد الأشخاص المصابين حسب الجنس","","","","عــدد الأشخاص المصابين حسب المكان","","","عدد الأشخاص المصابين حسب العمر","","","","","","عدد الأشخاص المصابين حسب الجنسيه","",""
"الشهر","ذكـور","أناث","المجموع","داخل المدينه","خارج المدينه","المجموع","أقل من 18","من18 إلى 30","من 30 على 40","من40إلى50","من50فأكثر","المجموع","سعودى","غير سعودى","المجموع"
"محرم","37.0","3.0","40.0","20.0","20.0","40.0","5.0","18.0","13.0","1.0","3.0","40.0","30.0","10.0","40.0"
"صفر","31.0","3.0","34.0","12.0","22.0","34.0","4.0","14.0","11.0","1.0","4.0","34.0","20.0","14.0","34.0"
"ربيع أول","21.0","0.0","21.0","20.0","1.0","21.0","2.0","6.0","11.0","2.0","0.0","21.0","10.0","11.0","21.0"
"ربيع ثانى","33.0","6.0","39.0","20.0","19.0","39.0","12.0","8.0","15.0","2.0","2.0","39.0","27.0","12.0","39.0"
"جمادى أول","31.0","4.0","35.0","10.0","25.0","35.0","2.0","14.0","16.0","2.0","1.0","35.0","26.0","9.0","35.0"
"جمادى ثانى","28.0","4.0","32.0","2.0","30.0","32.0","5.0","11.0","10.0","4.0","2.0","32.0","17.0","15.0","32.0"
"رجب","28.0","4.0","32.0","2.0","30.0","32.0","0.0","14.0","14.0","3.0","1.0","32.0","18.0","14.0","32.0"
"شعبان","27.0","4.0","31.0","4.0","27.0","31.0","7.0","10.0","5.0","3.0","6.0","31.0","21.0","10.0","31.0"
"رمضان","30.0","3.0","33.0","6.0","27.0","33.0","7.0","10.0","7.0","3.0","6.0","33.0","13.0","20.0","33.0"
"شوال","12.0","2.0","14.0","5.0","9.0","14.0","3.0","2.0","4.0","0.0","5.0","14.0","8.0","6.0","14.0"
"ذى القعدة","12.0","2.0","14.0","4.0","10.0","14.0","2.0","9.0","2.0","1.0","0.0","14.0","10.0","4.0","14.0"
"ذى الحجة","45.0","4.0","49.0","22.0","27.0","49.0","9.0","24.0","12.0","4.0","0.0","49.0","41.0","8.0","49.0"
"المجموع","335.0","39.0","374.0","127.0","247.0","374.0","58.0","140.0","120.0","26.0","30.0","374.0","241.0","133.0","374.0"
"تبوك- عــدد الأشخاص المصابين حسب الجنس","","","","عدد الأشخاص المصابين حسب المكان","","","عدد الأشخاص المصابين حسب العمر","","","","","","عدد الأشخاص المصابين حسب الجنسيه","",""
"الشهر","ذكور","أناث","المجموع","داخل المدينه","خارج المدينه","المجموع","أقل من 18","من18 إلى 30","من 30 على 40","من40إلى50","من50فأكثر","المجموع","سعودى","غير سعودى","المجموع"
"محرم","99.0","9.0","108.0","40.0","68.0","108.0","21.0","32.0","28.0","18.0","9.0","108.0","89.0","19.0","108.0"
"صفر","111.0","17.0","128.0","49.0","79.0","128.0","10.0","38.0","51.0","23.0","6.0","128.0","110.0","18.0","128.0"
"ربيع أول","63.0","6.0","69.0","34.0","35.0","69.0","13.0","32.0","14.0","4.0","6.0","69.0","59.0","10.0","69.0"
"ربيع ثانى","80.0","7.0","87.0","24.0","63.0","87.0","18.0","46.0","13.0","5.0","5.0","87.0","62.0","25.0","87.0"
"جمادى أول","101.0","11.0","112.0","50.0","62.0","112.0","17.0","59.0","15.0","12.0","9.0","112.0","90.0","22.0","112.0"
"جمادى ثانى","130.0","36.0","166.0","42.0","124.0","166.0","21.0","28.0","79.0","19.0","19.0","166.0","95.0","71.0","166.0"
"رجب","78.0","18.0","96.0","38.0","58.0","96.0","28.0","41.0","19.0","4.0","4.0","96.0","76.0","20.0","96.0"
"شعبان","74.0","18.0","92.0","35.0","57.0","92.0","33.0","30.0","18.0","7.0","4.0","92.0","68.0","24.0","92.0"
"رمضان","92.0","15.0","107.0","28.0","79.0","107.0","22.0","45.0","27.0","7.0","6.0","107.0","73.0","34.0","107.0"
"شوال","75.0","18.0","93.0","19.0","74.0","93.0","35.0","24.0","22.0","5.0","7.0","93.0","54.0","39.0","93.0"
"ذى القعدة","70.0","17.0","87.0","29.0","58.0","87.0","16.0","23.0","20.0","19.0","9.0","87.0","66.0","21.0","87.0"
"ذى الحجة","19.0","79.0","98.0","14.0","84.0","98.0","20.0","36.0","25.0","9.0","8.0","98.0","74.0","24.0","98.0"
"المجموع","992.0","251.0","1243.0","402.0","841.0","1243.0","254.0","434.0","331.0","132.0","92.0","1243.0","916.0","327.0","1243.0"
"الجوف- عـــدد الأشخاص المصابين حسب الجنس","","","","عـدد الأشخاص المصابين حسب المكان","","","عدد الأشخاص المصابين حسب العمر","","","","","","عدد الأشخاص المصابين حسب الجنسيه","",""
"الشهر","ذكور","أناث","المجموع","داخل المدينه","خارج المدينه","المجموع","أقل من 18","من18 إلى 30","من 30 على 40","من40إلى50","من50فأكثر","المجموع","سعودى","غير سعودى","المجموع"
"محرم","44.0","7.0","51.0","22.0","29.0","51.0","11.0","12.0","13.0","12.0","3.0","51.0","36.0","15.0","51.0"
"صفر","68.0","6.0","74.0","32.0","42.0","74.0","18.0","26.0","19.0","6.0","5.0","74.0","66.0","8.0","74.0"
"ربيع أول","39.0","8.0","47.0","16.0","31.0","47.0","6.0","21.0","13.0","7.0","0.0","47.0","29.0","18.0","47.0"
"ربيع ثانى","33.0","12.0","45.0","5.0","40.0","45.0","9.0","13.0","13.0","7.0","3.0","45.0","33.0","12.0","45.0"
"جمادى أول","41.0","8.0","49.0","25.0","24.0","49.0","9.0","19.0","11.0","9.0","1.0","49.0","34.0","15.0","49.0"
"جمادى ثانى","36.0","5.0","41.0","27.0","14.0","41.0","7.0","18.0","12.0","3.0","1.0","41.0","28.0","13.0","41.0"
"رجب","38.0","3.0","41.0","16.0","25.0","41.0","3.0","11.0","19.0","7.0","1.0","41.0","28.0","13.0","41.0"
"شعبان","36.0","10.0","46.0","21.0","25.0","46.0","2.0","24.0","10.0","6.0","4.0","46.0","37.0","9.0","46.0"
"رمضان","23.0","8.0","31.0","8.0","23.0","31.0","4.0","8.0","12.0","7.0","0.0","31.0","20.0","11.0","31.0"
"شوال","15.0","2.0","17.0","7.0","10.0","17.0","1.0","7.0","5.0","4.0","0.0","17.0","13.0","4.0","17.0"
"ذى القعدة","15.0","2.0","17.0","2.0","15.0","17.0","0.0","7.0","7.0","3.0","0.0","17.0","12.0","5.0","17.0"
"ذى الحجة","18.0","3.0","21.0","8.0","13.0","21.0","2.0","10.0","6.0","2.0","1.0","21.0","18.0","3.0","21.0"
"المجموع","406.0","74.0","480.0","189.0","291.0","480.0","72.0","176.0","140.0","73.0","19.0","480.0","354.0","126.0","480.0"
